case_id,name,year,court,key_finding,description,outcome
14,Hussainara Khatoon v. State of Bihar,1979,Supreme Court of India,Right to speedy trial established,Established the right to speedy trial as part of fundamental rights  addressing the issue of undertrials,win
15,Minerva Mills v. Union of India,1980,Supreme Court of India,Balance between fundamental rights and directive principles,Struck down amendments giving primacy to directive principles over fundamental rights  reinforcing basic structure doctrine,win
16,Bachan Singh v. State of Punjab,1981,Supreme Court of India,'Rarest of rare' doctrine for death penalty,Established that death penalty should be imposed only in 'rarest of rare' cases,win
17,Olga Tellis v. Bombay Municipal Corporation,1982,Supreme Court of India,Right to livelihood as part of right to life,Recognized that the right to livelihood is part of the right to life under Article 21,win
18,Shah Bano v. Mohd. Ahmed Khan,1985,Supreme Court of India,Muslim women's right to maintenance,Controversial ruling on Muslim woman's right to maintenance under Section 125 of CrPC  later nullified by Muslim Women Act,win
19,M.C. Mehta v. Union of India (Oleum Gas Leak),1986,Supreme Court of India,Absolute liability principle,Established the principle of absolute liability without exceptions for hazardous industries,win
20,D.K. Basu v. State of West Bengal,1987,Supreme Court of India,Guidelines for arrest and detention,Established detailed guidelines for arrest  detention  and interrogation by police officials,win
21,Central Inland Water v. Brojo Nath,1991,Supreme Court of India,Unconscionable contracts void,Established that unconscionable contractual terms can be struck down by courts,win
22,Indra Sawhney v. Union of India,1993,Supreme Court of India,27% OBC reservation valid,Upheld 27% reservation for Other Backward Classes (OBCs) but struck down reservation in promotions,win
23,Vishaka v. State of Rajasthan,1996,Supreme Court of India,Sexual harassment at workplace guidelines,Established guidelines for prevention of sexual harassment at workplace before legislation was enacted,win
24,Supreme Court Advocates-on-Record Association v. Union of India,1997,Supreme Court of India,Collegium system established,Established the 'collegium system' for appointment of judges  giving primacy to judiciary,win
25,Lily Thomas v. Union of India,1999,Supreme Court of India,Conversion solely for marriage invalid,Held that conversion solely for the purpose of marriage without true faith is invalid,win
26,Narmada Bachao Andolan v. Union of India,2001,Supreme Court of India,Development projects can proceed with safeguards,Allowed the Sardar Sarovar Project to proceed with certain environmental and rehabilitation safeguards,win
27,PUCL v. Union of India,2002,Supreme Court of India,Right to food as fundamental right,Recognized the right to food as part of the right to life under Article 21,win
28,Avtar Singh Bhasin v. State of Karnataka,2003,Supreme Court of India,Maintenance must be commensurate with lifestyle,Established that maintenance amount should be proportional to the previous lifestyle of the spouse,win
29,People's Union for Civil Liberties v. Union of India,2004,Supreme Court of India,Electoral reforms introduced,Introduced the 'None of the Above' (NOTA) option in elections,win
30,Prakash Singh v. Union of India,2005,Supreme Court of India,Police reforms mandated,Mandated significant reforms in police organization and functioning across states,win
31,M. Nagaraj v. Union of India,2006,Supreme Court of India,Reservations in promotions constitutional with conditions,Held that reservation in promotions is constitutional subject to proving backwardness  inadequate representation  and efficiency,win
32,Ashoka Kumar Thakur v. Union of India,2007,Supreme Court of India,OBC reservations in educational institutions valid,Upheld 27% OBC reservation in central educational institutions,win
33,Naz Foundation v. Govt of NCT of Delhi,2009,Delhi High Court,Section 377 partially struck down,Decriminalized consensual homosexual acts  later overruled by Supreme Court in 2013,win
34,Aruna Shanbaug v. Union of India,2010,Supreme Court of India,Passive euthanasia permitted,Permitted passive euthanasia in certain circumstances through withdrawal of life support,win
35,Selvi v. State of Karnataka,2012,Supreme Court of India,Narco-analysis without consent unconstitutional,Held that narco-analysis  brain-mapping  and polygraph tests without consent violate Article 20(3),win
36,Suresh Kumar Koushal v. Naz Foundation,2013,Supreme Court of India,Section 377 reinstated,Overturned Delhi High Court judgment  recriminalizing homosexuality  later overruled in 2018,win
37,NALSA v. Union of India,2014,Supreme Court of India,Recognition of transgender as third gender,Recognized transgender persons as a third gender and affirmed their fundamental rights,win
38,Shreya Singhal v. Union of India,2015,Supreme Court of India,Section 66A of IT Act struck down,Struck down Section 66A of Information Technology Act as unconstitutional restriction on free speech,win
39,Justice K.S. Puttaswamy v. Union of India,2016,Supreme Court of India,Right to privacy as fundamental right,Nine-judge bench unanimously declared right to privacy as a fundamental right,win
40,Triple Talaq Case,2017,Supreme Court of India,Triple talaq unconstitutional,Declared instantaneous triple talaq (talaq-e-biddat) as unconstitutional,win
41,Navtej Singh Johar v. Union of India,2018,Supreme Court of India,Section 377 struck down,Decriminalized consensual homosexual acts by reading down Section 377,win
43,Rafale Deal Case,2019,Supreme Court of India,No probe into Rafale deal,Dismissed petitions seeking probe into Rafale fighter jet deal  finding no irregularities,win
44,Ayodhya Land Dispute Case,2019,Supreme Court of India,Land allocated for Ram temple,Allocated disputed land for construction of Ram temple  alternative plot for mosque,win
45,Anuradha Bhasin v. Union of India,2020,Supreme Court of India,Internet shutdown rules clarified,Declared internet access as part of freedom of speech  mandated review of internet shutdowns,win
46,Arnab Goswami v. State of Maharashtra,2020,Supreme Court of India,Bail guidelines reinforced,Reinforced the principle of 'bail  not jail'  emphasizing liberty of citizens,win
47,Tehseen Poonawalla v. Union of India,2021,Supreme Court of India,Guidelines for lynching cases,Issued preventive  remedial  and punitive guidelines for mob lynching cases,win
48,Pegasus Spyware Case,2021,Supreme Court of India,Committee formed to investigate surveillance,Formed expert committee to investigate alleged use of Pegasus spyware for surveillance,win
49,Jarnail Singh v. Lachhmi Narain Gupta,2022,Supreme Court of India,Theft or Robbery,Theft and Rob or tries to steal something,win
50,X v. State of Jharkhand,2022,Supreme Court of India,Marital rape recognized in MTP Act,Recognized marital rape for the purpose of Medical Termination of Pregnancy Act,win
51,Environmental Compensation Case,2022,Supreme Court of India,Polluter pays principle strengthened,Strengthened implementation of 'polluter pays' principle for environmental damage,win
52,LIC v. Consumer Education & Research Centre,2023,Supreme Court of India,Insurance companies' liability extended,Extended liability of insurance companies in consumer disputes,win
53,Digital News Publishers Association v. Union of India,2023,Supreme Court of India,IT Rules partially struck down,Struck down certain provisions of IT Rules  2021 affecting digital news publishers,win
54,EWS Reservation Case,2023,Supreme Court of India,10% EWS reservation upheld,Upheld the constitutional validity of 10% reservation for Economically Weaker Sections,win
55,Goa Mining Case,2024,Supreme Court of India,Mining leases renewal guidelines,Established guidelines for renewal of mining leases with environmental safeguards,win
56,Kharak Singh v. State of Uttar Pradesh,1969,Supreme Court of India,First recognition of privacy rights,First case to recognize aspects of privacy as part of personal liberty  albeit limited,win
57,Raj Narain v. Indira Gandhi,1975,Allahabad High Court,Election of Prime Minister invalidated,Invalidated Indira Gandhi's election  leading to declaration of Emergency,win
58,Rudul Sah v. State of Bihar,1981,Supreme Court of India,Compensation for rights violations,First case awarding compensation for violation of fundamental rights by the state,win
59,State of Karnataka v. Appa Balu Ingale,1984,Karnataka High Court,Atrocities against Dalits recognized,Recognized and addressed the issue of atrocities against Dalits under the SC/ST Act,win
60,Ratlam Municipality v. Vardhichand,1989,Supreme Court of India,Public interest enforcement of municipal duties,Enforced municipal duties towards public health and sanitation through judicial orders,win
61,Mohd. Ahmed Khan v. Shah Bano Begum,1992,Supreme Court of India,Uniform Civil Code debate,Reignited debate on Uniform Civil Code while deciding on maintenance for Muslim divorced women,win
62,Common Cause v. Union of India,1995,Supreme Court of India,Right to die with dignity,Early case dealing with right to die with dignity  leading to later passive euthanasia rulings,win
63,Vineet Narain v. Union of India,1998,Supreme Court of India,CBI autonomy established,Established guidelines for ensuring CBI's autonomy from political interference,win
64,Narmada Bachao Andolan v. Union of India,2000,Supreme Court of India,Balance between development and rights,Balanced development needs with displacement and environmental concerns in dam projects,win
65,S.R. Bommai v. Union of India,2002,Supreme Court of India,Limits on President's rule,Established limits on imposition of President's rule under Article 356,win
66,Rubabbuddin Sheikh v. State of Gujarat,2005,Supreme Court of India,Fake encounter cases,Landmark judgment on handling of fake encounter cases and police accountability,win
67,Aruna Rodrigues v. Union of India,2007,Supreme Court of India,GM crops regulation,Established regulatory framework for Genetically Modified crops in India,win
68,Nandini Sundar v. State of Chhattisgarh,2009,Supreme Court of India,State-sponsored vigilantism unconstitutional,Declared Salwa Judum (state-sponsored vigilante groups) as unconstitutional,win
69,Centre for PIL v. Union of India (2G Spectrum),2011,Supreme Court of India,Cancellation of telecom licenses,Cancelled 122 telecom licenses in the 2G spectrum case due to arbitrary allocation,win
70,Society for Unaided Private Schools v. Union of India,2012,Supreme Court of India,RTE Act upheld,Upheld constitutional validity of Right to Education Act with exemption for minority institutions,win
71,PUCL v. Union of India (Aadhar Case),2014,Supreme Court of India,Limits on Aadhar usage,Restricted mandatory use of Aadhar to certain welfare schemes until larger bench decision,win
72,Namit Sharma v. Union of India,2015,Supreme Court of India,RTI Commissioners appointment,Established guidelines for appointment of RTI Commissioners,win
73,Subramanian Swamy v. Union of India,2016,Supreme Court of India,Criminal defamation constitutional,Upheld constitutional validity of criminal defamation under IPC Sections 499 and 500,win
74,Common Cause v. Union of India (Living Will),2018,Supreme Court of India,Living will and advance directives legal,Legalized living wills and advance medical directives for passive euthanasia,win
75,Swapnil Tripathi v. Supreme Court of India,2018,Supreme Court of India,Live streaming of court proceedings,Allowed live streaming of Supreme Court proceedings of constitutional importance,win
76,Mukesh Singh v. State (NCT of Delhi),2019,Supreme Court of India,Death penalty in Nirbhaya case upheld,Upheld death penalty for convicts in the 2012 Delhi gang rape case,win
77,Foundation for Media Professionals v. Union Territory of J&K,2020,Supreme Court of India,4G internet in J&K,Mandated review of 4G internet restrictions in Jammu and Kashmir,win
78,Laxman Naskar v. Union of India,2021,Supreme Court of India,Marital rape as ground for divorce,Recognized marital rape as cruelty for the purpose of divorce,win
79,In Re: Distribution of Essential Supplies During Pandemic,2021,Supreme Court of India,COVID management oversight,Established judicial oversight over government's COVID-19 management,win
80,Samta Andolan v. Union of India,2022,Supreme Court of India,Reservation in promotion,Clarified application of reservation in promotion for public services,win
81,Association for Democratic Reforms v. Union of India,2022,Supreme Court of India,Electoral bonds scheme scrutiny,Scrutinized electoral bonds scheme for political party funding,win
82,Zakia Jafri v. State of Gujarat,2023,Supreme Court of India,Gujarat riots investigation,Ruled on investigation into larger conspiracy behind 2002 Gujarat riots,win
83,Parsi Marriage and Divorce Case,2023,Supreme Court of India,Personal law modernization,Modernized interpretation of Parsi personal law for gender equality,win
84,Digital Personal Data Protection Act Case,2024,Supreme Court of India,Data protection principles,Established principles for implementing Digital Personal Data Protection Act,win
85,State of Punjab v. Ajaib Singh,1952,District Court Punjab,Preventive detention procedures,Early case establishing procedures for preventive detention under security laws,win
86,Ram Jawaya Kapur v. State of Punjab,1961,District Court Punjab,Executive power limits,Established limits of executive power without legislative backing,win
87,Shankari Prasad v. Union of India,1977,District Court Delhi,Constitutional amendments judicial review,Early case on judicial review of constitutional amendments,win
88,Romesh Thapar v. State of Madras,1982,District Court Madras,Freedom of press expansion,Expanded interpretation of freedom of press under Article 19,win
89,Unnikrishnan v. State of Andhra Pradesh,1990,District Court Hyderabad,Right to education as fundamental,Recognized right to education as part of right to life before it became explicit fundamental right,win
90,State of Punjab v. Gurmit Singh,1996,District Court Punjab,Rape victim testimony guidelines,Established guidelines for handling testimony of rape victims,win
91,Sarla Mudgal v. Union of India,2003,District Court Delhi,Conversion for second marriage invalid,Ruled against conversion to Islam solely for the purpose of second marriage,win
92,Kihoto Hollohan v. Zachillhu,2008,District Court Nagaland,Anti-defection law scope,Defined scope and application of anti-defection law,win
93,Lillu v. State of Haryana,2013,District Court Haryana,Two-finger test unconstitutional,Declared the two-finger test for rape victims as unconstitutional,win
94,Gautam Navlakha v. State of Delhi,2017,District Court Delhi,Human rights defenders protection,Established protections for human rights defenders against arbitrary detention,win
95,Youth Bar Association v. Union of India,2020,District Court Delhi,FIR upload mandatory,Mandated upload of FIRs on police websites within 24 hours,win
96,Jagisha Arora v. State of UP,2022,District Court Uttar Pradesh,Journalists' arrest guidelines,Established guidelines for arrest of journalists and media professionals,win
97,Farmers Protest Case,2024,District Court Haryana,Right to peaceful protest,Affirmed right to peaceful protest while maintaining public order,win
98,MP Sugar Mills v. State of Uttar Pradesh,1958,Taxation Tribunal,Administrative discretion limits,Limited administrative discretion in taxation matters requiring objective criteria,win
99,Ram Singh v. Union of India,1984,Armed Forces Tribunal,Military law application,Clarified application of military law vis-à-vis civilian law,win
100,Kuldip Nayar v. Union of India,1997,Election Tribunal,Rajya Sabha election procedures,Established procedures and safeguards in Rajya Sabha elections,win
101,P.V. Narasimha Rao v. State (CBI),2010,Special Court CBI,Parliamentary privileges limits,Defined limits of parliamentary privileges in corruption cases,win
102,Judge Loya Death Case,2018,Special Investigation Tribunal,Judicial independence,Addressed issues of judicial independence and investigation procedures,win
103,Crypto Currency Regulation Case,2023,Financial Regulatory Tribunal,Digital currency framework,Established regulatory framework for cryptocurrency operations in India,win
104,I.C. Golaknath v. State of Punjab,1967,Full Constitutional Bench,Parliament's amendment powers limited,First case to limit Parliament's power to amend fundamental rights,win
105,Charles Sobraj v. Superintendent of Central Jail,1988,Full Constitutional Bench,Prisoners' rights established,Established rights of prisoners including right to fair treatment,win
106,Pro-CAA Protests Case,2004,Full Constitutional Bench,Protest within constitutional limits,Established constitutional limits and protections for public protests,win
107,Sabarimala Review Petition,2019,Full Constitutional Bench,Religious practices vs. constitutional rights,Addressed balance between religious practices and constitutional rights of equality,win
108,Uniform Civil Code Reference,2024,Full Constitutional Bench,Personal law vs. uniform code,Addressed constitutional framework for potential Uniform Civil Code implementation,win
145,Kedarnath Singh v. State of Bihar,1962,Supreme Court of India,Defined limits of sedition law,Held that sedition applies only when there is incitement to violence or public disorder,win
146,K M Nanavati v. State of Maharashtra,1961,Supreme Court of India,Established guidelines on provocation in murder cases,Addressed legal procedures in cases involving waging war against the state,win
147,State v. Moti Lal,1973,Delhi High Court,Clarified depredation against friendly nations,Accused found guilty of attacking foreign property during peacetime,win
148,Emperor v. Chhotalal,1920,Bombay High Court,Receiving war loot is equivalent to committing depredation,Accused received stolen war property,win
149,R v. Gopal Chunder Roy,1874,Calcutta High Court,Public servants aiding escapes are liable,Public servant found guilty of letting a prisoner escape,win
150,State of Uttar Pradesh v. Bhupendra,1980,Allahabad High Court,Negligence leading to escape is punishable,Prison warden failed to prevent a prisoner’s escape,win
151,Kartar Singh v. State of Punjab,1994,Supreme Court of India,Harboring escapees is an offence,Addressed harboring of terrorists,win
152,State v. Abdul Rashid,2001,Delhi High Court,Abetting military insubordination is punishable,Accused found guilty of instigating soldiers,win
153,Queen v. Ramji,1864,Bombay High Court,Confirmed punishment for mutiny abetment,Mutiny was directly incited by the accused,win
154,State v. Rajan,1978,Madras High Court,Abetment of assault on superior officers,Accused incited soldiers against superior officers,win
155,Union of India v. Major E.G. Barsay,1961,Supreme Court of India,Defined abetment of superior assault,Army officer abetted assault on superior,win
156,State v. Gopal Das,2003,Madhya Pradesh High Court,Desertion of soldiers is punishable,Accused assisted in desertion,win
157,State v. Ramesh,2005,Karnataka High Court,Harboring a deserter is an offence,Accused provided shelter to a deserter,win
158,R v. John Smith,1912,Bombay High Court,Negligence in hiding deserters on ships,Mercantile captain found guilty,win
159,State v. Rahim Khan,2002,Delhi High Court,Insubordination abetment is punishable,Accused instigated defiance against superior officers,win
160,Supreme Court Bar Association v. Union of India,1998,Supreme Court of India,Defined jurisdiction of military law,Clarified applicability of IPC in military cases,win
161,R v. Williams,1937,Calcutta High Court,Unlawful wearing of military uniform punished,Accused posed as an army officer,win
162,Babulal Parate v. State of Maharashtra,1961,Supreme Court of India,Defined unlawful assembly,Clarified powers of the state to control assemblies,win
163,State v. Raja Ram,1991,Allahabad High Court,Punishment for unlawful assembly enforced,Convicted for being part of an unlawful assembly,win
164,State v. Rajesh,1997,Delhi High Court,Unlawful assembly penalty enforced,Accused found guilty of illegal assembly,win
165,Govind v. State,2005,Mumbai High Court,Joining armed unlawful assembly is punishable,Accused carried deadly weapons in an unlawful assembly,win
166,Ram Narayan Singh v. State,1985,Patna High Court,Failure to disperse from unlawful assembly is punishable,Accused remained after orders to disperse,win
167,State v. Suresh,2007,Madhya Pradesh High Court,Rioting includes collective violence,Accused engaged in mob violence,win
168,State v. Mohan,2010,Karnataka High Court,Punishment for rioting clarified,Accused found guilty of rioting,win
169,R v. Daulat Ram,1915,Bombay High Court,Rioting with deadly weapons punished,Accused found carrying weapons during riot,win
170,State v. Anil,2018,Delhi High Court,Members of unlawful assembly equally responsible,Accused convicted for participation in unlawful assembly,win
171,State vs Ramesh,2015,Supreme Court,Hiring individuals for unlawful assembly,The accused was found guilty of hiring people to join a protest that turned violent.,win
172,People vs Anil,2017,High Court,Refusal to disperse from an unlawful assembly,Despite police orders  the accused continued protesting with more than five people.,win
173,State vs Sunil,2018,District Court,Obstructing a police officer during riot control,The accused assaulted a police officer while he was dispersing a riot.,win
174,State vs Manoj,2016,High Court,Provocation to cause riot,The accused made inflammatory speeches  inciting communal violence.,win
175,Republic vs Sharma,2020,Supreme Court,Promoting enmity between religious groups,The accused posted hate speeches on social media  leading to riots.,win
176,State vs Rafiq,2019,District Court,Carrying weapons in a procession,The accused was found carrying a firearm in a religious procession.,win
177,People vs Verma,2021,High Court,Statements harming national integration,The accused made false allegations against a community  leading to communal tensions.,win
178,State vs Kumar,2017,District Court,Allowing unlawful assembly on private land,The accused allowed his land to be used for an unlawful assembly despite police warnings.,win
179,State vs Gupta,2022,Supreme Court,Benefitting from a riot,The accused was found guilty of orchestrating a riot to drive out tenants.,win
180,People vs Yadav,2018,High Court,Harboring hired rioters,The accused provided shelter to individuals hired to participate in a riot.,win
153/2021,State vs. A,2021,Supreme Court of India,A was found guilty of abetting mutiny, which led to a military rebellion.,win
154/2019,State vs. B,2019,Delhi High Court,B was convicted for abetting an assault on a superior officer.,B,win
155/2020,State vs. C,2020,Bombay High Court,C was convicted of abetting the assault on a superior officer, which resulted in actual harm.,win
156/2021,State vs. D,2021,Karnataka High Court,D was convicted of abetting desertion, which led to the soldier abandoning his post.,win
157/2018,State vs. E,2018,Madras High Court,E was convicted for harboring a deserter.,E was found guilty of harboring a soldier who had deserted his post. The soldier was hiding in E’s residence for several weeks.,win
158/2019,State vs. F,2019,Rajasthan High Court,F was convicted for negligence for allowing a deserter to board a merchant vessel.,F,win
159/2020,State vs. G,2020,Punjab and Haryana High Court,G was convicted for abetting insubordination.,G was found guilty of encouraging a soldier to disobey his superior officer,win
160/2018,State vs. H,2018,Delhi High Court,H was convicted for wearing unauthorized military garb.,H was caught wearing a military uniform and carrying a military token without authorization,win
161/2021,State vs. I,2021,Gujarat High Court,I was convicted for participating in an unlawful assembly with the intent to commit criminal acts.,I was part of a group that gathered with the intent to cause violence and destruction. The assembly was deemed unlawful.,win
162/2020,State vs. J,2020,Andhra Pradesh High Court,J was convicted for rioting with a deadly weapon.,J participated in a riot armed with a sword,win
163/2021,State vs. K,2021,Kerala High Court,K was convicted for rioting in furtherance of an unlawful assembly.,K participated in a violent riot where the group used force to disrupt public order,win
164/2019,State vs. L,2019,Uttar Pradesh High Court,L was convicted for joining an unlawful assembly armed with a deadly weapon.,L joined a violent protest while armed with a knife,win
165/2021,State vs. M,2021,Bihar High Court,M was convicted for knowingly joining an assembly after being ordered to disperse.,M knowingly participated in a large gathering that had been ordered to disperse by the authorities.,win
166/2020,State vs. N,2020,Madhya Pradesh High Court,N was convicted for obstructing a public servant while suppressing a riot.,N obstructed the police officers who were attempting to control a riot,win
167/2021,State vs. O,2021,Rajasthan High Court,O was convicted for giving provocative statements intending to cause a riot.,O made inflammatory speeches with the intent to provoke a riot between two groups.,win
168/2020,State vs. P,2020,Madhya Pradesh High Court,P was convicted for participating in a riot.,P was found guilty of rioting during a public protest,win
169/2021,State vs. Q,2021,Uttar Pradesh High Court,Q was convicted for rioting while armed with a deadly weapon.,Q participated in a riot while armed with a sharp weapon,win
170/2020,State vs. R,2020,Delhi High Court,R was convicted as a member of an unlawful assembly.,R was part of an unlawful assembly,win
171/2019,State vs. S,2019,Kerala High Court,S was convicted for hiring individuals to join an unlawful assembly.,S hired a group of individuals to participate in an unlawful assembly and commit acts of violence.,win
172/2020,State vs. T,2020,Chhattisgarh High Court,T was convicted for knowingly remaining in an unlawful assembly after being ordered to disperse.,T was seen continuing to participate in an unlawful assembly after the authorities had ordered it to disperse.,win
173/2021,State vs. U,2021,Andhra Pradesh High Court,U was convicted for obstructing a public servant during the suppression of a riot.,U was found guilty of obstructing the police while they were attempting to suppress a riot.,win
174/2020,State vs. V,2020,Goa High Court,V was convicted for giving provocative statements with the intent to cause a riot.,V made inflammatory statements at a public gathering,win
175/2019,State vs. W,2019,Maharashtra High Court,W was convicted for promoting enmity between groups based on religion.,W was found guilty of making provocative speeches that caused division between different religious communities.,win
176/2021,State vs. X,2021,Bihar High Court,X was convicted for carrying arms in a procession.,X participated in a procession while carrying arms,win
177/2020,State vs. Y,2020,Tamil Nadu High Court,Y was convicted for making false statements prejudicial to national integration.,Y made statements that undermined national unity and harmed public order.,win
178/2019,State vs. Z,2019,Delhi High Court,Z was convicted for allowing an unlawful assembly on their property.,Z,win
179/2021,State vs. AA,2021,Punjab and Haryana High Court,AA was convicted for benefiting from a riot.,AA was found to have benefited from the actions of a riot,win
180/2020,State vs. BB,2020,West Bengal High Court,BB was convicted for being an agent of the property owner where a riot took place.,BB,win
181/2021,State vs. CC,2021,Tamil Nadu High Court,CC was convicted for harboring individuals hired for an unlawful assembly.,CC knowingly provided shelter to individuals who were hired to participate in an unlawful assembly.,win
182/2020,State vs. DD,2020,Madhya Pradesh High Court,DD was convicted for being hired to participate in a riot while armed.,DD was hired to participate in a riot while carrying a deadly weapon.,lose
183/2019,State vs. EE,2019,Delhi High Court,EE was convicted for participating in an affray.,EE engaged in a violent public altercation that disturbed the peace.,lose
184/2020,State vs. FF,2020,Kerala High Court,FF was convicted for committing an affray.,FF participated in a public fight disturbing the peace in a crowded area.,win
185/2021,State vs. GG,2021,Karnataka High Court,GG was convicted for disobeying the law with intent to cause injury.,GG,win
187/2020,State vs. II,2020,Andhra Pradesh High Court,II was convicted for non-treatment of a victim.,II,lose
188/2019,State vs. JJ,2019,Uttar Pradesh High Court,JJ was convicted for framing a false document as a public servant.,JJ,win
189/2020,State vs. KK,2020,Maharashtra High Court,KK was convicted for unlawfully engaging in trade.,KK,win
190/2021,State vs. LL,2021,West Bengal High Court,LL was convicted for unlawfully bidding for property as a public servant.,LL,lose
191/2020,State vs. MM,2020,Delhi High Court,MM was convicted for personating a public servant.,MM impersonated a public servant to gain unlawful benefits.,win
192/2019,State vs. NN,2019,Karnataka High Court,NN was convicted for wearing the garb of a public servant with fraudulent intent.,NN wore the uniform of a public servant to deceive others into believing they were an official.,win
193/2021,State vs. OO,2021,Andhra Pradesh High Court,OO was found guilty of using the terms “candidate” and “electoral right” fraudulently in an election.,OO manipulated the definition of electoral rights and candidate status to mislead voters.,win
194/2020,State vs. PP,2020,Maharashtra High Court,PP was convicted for offering bribes to influence an election.,PP was caught offering a bribe to voters to sway the election results.,lose
195/2019,State vs. QQ,2019,Uttar Pradesh High Court,QQ was convicted for exerting undue influence on voters in an election.,QQ used threats and intimidation to influence voters’ decisions in an election.,lose
196/2021,State vs. RR,2021,Kerala High Court,RR was convicted for personating another during an election to cast a false vote.,RR was caught impersonating another voter and casting a fraudulent vote in an election.,win
197/2020,State vs. SS,2020,Delhi High Court,SS was convicted for bribing an election official.,SS was convicted for attempting to bribe an election official to alter vote counts.,win
198/2021,State vs. TT,2021,Madhya Pradesh High Court,TT was convicted for undue influence and personation at elections.,TT used threats to influence votes and also participated in personating another individual to vote.,lose
199/2019,State vs. UU,2019,Chhattisgarh High Court,UU was convicted for making false statements related to election results.,UU was found guilty of making false public statements that damaged the integrity of the election process.,lose
200/2020,State vs. AA,2020,Madhya Pradesh High Court,AA was convicted for making illegal payments in connection with an election.,AA was found guilty of offering bribes to influence voters during an election.,win
201/2019,State vs. BB,2019,Delhi High Court,BB was convicted for failure to maintain election accounts.,BB failed to maintain the necessary accounts of election expenses as required by law.,win
202/2021,State vs. CC,2021,Kerala High Court,CC was convicted for absconding to avoid service of summons.,CC intentionally avoided legal summons and proceedings.,lose
203/2020,State vs. DD,2020,Rajasthan High Court,DD was convicted for preventing the service of a summons.,DD deliberately obstructed the service of a summons or other legal proceedings.,win
204/2021,State vs. EE,2021,Chhattisgarh High Court,EE was convicted for failing to attend a public servant's order.,EE ignored an order from a public servant to attend a legal proceeding.,win
205/2020,State vs. FF,2020,Uttar Pradesh High Court,FF was convicted for non-appearance in response to a proclamation.,FF failed to appear in response to a legal proclamation issued under section 82 of the CrPC.,win
206/2019,State vs. GG,2019,Karnataka High Court,GG was convicted for omitting to produce a document to a public servant.,GG failed to produce a document as required by law when requested by a public servant.,lose
207/2021,State vs. HH,2021,Kerala High Court,HH was convicted for failing to give notice to a public servant.,HH failed to provide required notice to a public servant when legally obligated to do so.,lose
208/2019,State vs. II,2019,Maharashtra High Court,II was convicted for furnishing false information to a public servant.,II knowingly provided false information to a public servant.,win
209/2020,State vs. JJ,2020,Delhi High Court,JJ was convicted for refusing to take an oath before a public servant.,JJ refused to take an oath when required by a public servant.,win
210/2021,State vs. KK,2021,West Bengal High Court,KK was convicted for refusing to answer a public servant’s question.,KK refused to answer a question from an authorized public servant.,lose
211/2019,State vs. LL,2019,Madhya Pradesh High Court,LL was convicted for refusing to sign a statement.,LL refused to sign a statement when required by a public servant.,lose
212/2020,State vs. MM,2020,Rajasthan High Court,MM was convicted for making a false statement under oath to a public servant.,MM gave a false statement under oath to mislead a public servant.,win
213/2021,State vs. NN,2021,Chhattisgarh High Court,NN was convicted for providing false information to a public servant.,NN knowingly provided false information with the intent to cause harm to someone.,win
214/2019,State vs. OO,2019,Maharashtra High Court,OO was convicted for resisting the lawful taking of property.,OO resisted a public servant from taking property under lawful authority.,lose
