section_id,law_name,section_number,title,text
29,Indian penal code,Section 18,India,"As mentioned before this section defines ""India"" for the purposes of the IPC. It refers to the territory of India. After the Jammu and Kashmir Reorganisation Act 2019 the definition of India in the IPC now includes the entire territory of India."
30,Indian penal code,Section 19,Judge,"Judge"" is defined as not only every person who is officially designated as a Judge but also every person who is empowered by law to give in any legal proceeding civil or criminal a definitive judgment"
31,Indian penal code,Section 20,Court of Justice,"Court of Justice"" is defined as a Judge empowered by law to act judicially alone or a body of Judges empowered by law to act judicially as a body when such Judge or body of Judges is acting judicially"
32,Indian penal code,Section 21,Public servant,It includes a wide range of individuals holding public office such as officers in the military judges officers of courts of justice officers of the government and those involved in elections
33,Indian penal code,Section 22,Movable property,"Movable property"" is defined as including corporeal property of every description except land and things permanently attached to the earth or fastened to anything which is attached to the earth"
34,Indian penal code,Section 23,Wrongful gain,This highlights the illegality of acquiring property that one does not have a legal right to
35,Indian penal code,Section 24,Dishonestly,This emphasizes the intent behind an action focusing on the intention to cause illegal gain or loss
36,Indian penal code,Section 25,Fraudulently,This focuses on the intent to deceive or trick someone and to cause them to lose property or some other legal right.
37,Indian penal code,Section 26,Reason to believe,This section sets a standard for when a person can be held to have knowledge or awareness of something
38,Indian penal code,Section 27,Property in possession of wife clerk or servant,When property is in the possession of a person's wife clerk or servant on that person's account it is considered to be in that person's possession
39,Indian penal code,Section 28,Counterfeit,This defines the act of creating a false copy with the intent to deceive
40,Indian penal code,Section 29 ,Document,The word 'document' denotes any matter expressed or described upon any substance by means of letters figures or marks or by more than one of those means intended to be used or which may be used as evidence of that matter
41,Indian penal code,Section 29A,Electronic record,This section defines �electronic record� as assigned to it in clause (t) of sub-section (1) of section 2 of the Information Technology Act 2000. This section links the IPC to definitions within the Information Technology Act
42,Indian penal code,Section 30,Valuable security,This defines documents that hold legal value
43,Indian penal code,Section 31,A will,This provides a simple definition related to documents that dictate the distribution of property after death
44,Indian penal code,Section 32,Words referring to acts include illegal omissions,This means that if something is illegal to not do then that in action can be prosecuted as an act.
45,Indian penal code,Section 33,Act omission,The word 'act' denotes as well a series of acts as a single act: the word 'omission' denotes as well a series of omissions as a single omission.
46,Indian penal code,Section 34,Acts done by several persons in furtherance of common intention,When a criminal act is done by several persons in furtherance of the common intention of all each of such persons is liable for that act in the same manner as if it were done by him alone
47,Indian penal code,Section 35,When such an act is criminal by reason of its being done with a criminal knowledge or intention,When an act which is criminal only by reason of its being done with a criminal knowledge or intention is done by several persons each of such persons who joins in the act with such knowledge or intention is liable for the act in the same manner as if the act were done by him alone with that knowledge or intention
48,Indian penal code,Section 36,Effect caused partly by act and partly by omission,This means criminals can't devide up criminal actions in order to try and become less culpable
49,Indian penal code,Section 37,Co-operation by doing one of several acts constituting an offence,When an offence is committed by means of any one of a series of acts which together constitute that offence every person who intentionally co-operates in the commission of that offence by doing any one of those acts either singly or jointly with any other person commits that offence
50,Indian penal code,Section 38,Persons concerned in criminal act may be guilty of different offences,This means that even involved in the same act the people involved can be held accountable for different offences.
51,Indian penal code,Section 39,Voluntarily,A person is said to cause an effect voluntarily when they cause it by means which they intended or knew were likely to cause it.
52,Indian penal code,Section 40,Offence,An offence is any act or omission made punishable by The Indian Penal Code (IPC) or Any special or local law where the law defines it as an offence.
53,Indian penal code,Section 41,Special law,A special law is a law enacted for a specific purpose or class of offences that overrides the general law in those cases.
54,Indian penal code,Section 42,Local law,A local law is a law applicable only to a specific part of India (such as a state or district) unlike IPC which applies to the whole country.
55,Indian penal code,Section 43,Illegal legally bound to do,"The word ""illegal"" applies to everything prohibited by law including Acts that are offences under IPC Acts that are prohibited by law but not necessarily offences Acts that form a reason to sue in a civil court."
56,Indian penal code,Section 44,Injury,Injury means any harm or torture to a person's body mind reputation or property.
57,Indian penal code,Section 45,Life,"The word ""life"" refers to the life of a human being unless otherwise specified."
58,Indian penal code,Section 46,Death,"The term ""death"" refers only to the death of a human being. It does not include the death of an animal."
59,Indian penal code,Section 47,Animal,"The term ""animal"" means any living creature other than a human being."
60,Indian penal code,Section 48,Vessel,A vessel refers to anything made for water transportation regardless of how it moves (engine-powered sail or rowboat).
61,Indian penal code,Section 49,Year and month,In IPC A year means 12 months and A month means 30 days unless stated otherwise.
62,Indian penal code,Section 50,Section,Denotes a section of the Indian Penal Code
63,Indian penal code,Section 51,Oath,Includes a solemn affirmation substituted by law for an oath.
64,Indian penal code,Section 52,Good faith,"Nothing is said to be done or believed in ""good faith"" which is done or believed without due care and attention."
65,Indian penal code,Section 52A,Harbour,Includes the supply of shelter food drink money clothes arms ammunition or means of conveyance or the assisting a person in any way to evade apprehension.
66,Indian penal code,Section 53,Punishments,Describes the various punishments to which offenders are liable under the IPC.
67,Indian penal code,Section 53A,Construction of reference to �transportation�,Explains how references to the former punishment of transportation should be construed.
68,Indian penal code,Section 54,Commutation of sentence of death,Empowers the appropriate government to commute a sentence of death.
69,Indian penal code,Section 55,Commutation of sentence of imprisonment for life,Empowers the appropriate government to commute a sentence of imprisonment for life.
70,Indian penal code,Section 55A,Definition of �appropriate Government�,"Defines the ""appropriate Government"" for the purposes of commuting sentences."
71,Indian penal code,Section 56,Sentence of Europeans and Americans to penal servitude,This section is now obsolete.
72,Indian penal code,Section 57,Fractions of terms of punishment,Deals with the calculation of fractions of terms of punishment
73,Indian penal code,Section 58,Repealed,These sections are repealed.
74,Indian penal code,Section 59,Repealed,These sections are repealed.
75,Indian penal code,Section 60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,Allows for sentences of imprisonment to be either wholly or partly rigorous (with hard labor) or simple.
76,Indian penal code,Section 61,Repealed,These sections are repealed.
77,Indian penal code,Section 62,Repealed,These sections are repealed.
78,Indian penal code,Section 63,Amount of fine, States that where no sum is expressed to which a fine may extend the amount of fine to which the offender is liable is unlimited but shall not be excessive
79,Indian penal code,Section 64,Sentence of imprisonment for non-payment of fine,Provides for imprisonment in default of payment of a fine.
80,Indian penal code,Section 65,Limit to imprisonment for non-payment of fine when imprisonment and fine awardable,Sets the limit for imprisonment in default of payment of a fine when both imprisonment and a fine are imposed.
81,Indian penal code,Section 66,Description of imprisonment for non-payment of fine,Specifies the nature of the imprisonment imposed for non-payment of a fine.
82,Indian penal code,Section 67,Imprisonment for non-payment of fine when offence punishable with fine only,Deals with imprisonment for non-payment of a fine when the offence is punishable with a fine only.
83,Indian penal code,Section 68,Imprisonment to terminate on payment of fine,States that imprisonment terminates upon payment of the fine.
84,Indian penal code,Section 69,Termination of imprisonment on payment of proportional part of fine, Provides for the termination of imprisonment upon payment of a proportional part of the fine.
85,Indian penal code,Section 70,Fine leviable within six years or death,Specifies the time limit for levying a fine.
86,Indian penal code,Section 71,Limit of punishment of offence made up of several offences, Sets the limit of punishment when an offence is made up of several offences.
87,Indian penal code,Section 72,Punishment of person guilty of one of several offences the judgment stating that it is doubtful of which,Deals with punishment when a person is guilty of one of several offences but it is doubtful which
88,Indian penal code,Section 73,Solitary confinement, Provides for the imposition of solitary confinement.
89,Indian penal code,Section 74,Limit of solitary confinement,Sets the limit for solitary confinement.
90,Indian penal code,Section 75,Enhanced punishment for certain offences under Chapters XII or XVII after previous conviction, Provides for enhanced punishment for repeat offenders of certain property and coin-related offences.
91,Indian penal code,Section 76,Act done by a person bound or by mistake of fact believing himself bound by law,Provides an exception for acts done under a mistake of fact.
92,Indian penal code,Section 77,Act of Judge when acting judicially,Provides an exception for acts of a judge when acting judicially.
93,Indian penal code,Section 78,Act done pursuant to the judgment or order of Court,Provides an exception for acts done pursuant to a court order.
94,Indian penal code,Section 79,Act justified by law or by mistake of fact believing himself justified by law,Provides exception for acts justified by law or under mistake of fact.
95,Indian penal code,Section 80,Accident in doing a lawful act,Provides an exception for accidents occurring while doing a lawful act.
96,Indian penal code,Section 81,Act likely to cause harm but done without criminal intent and to prevent other harm,�Provides an exception for acts done to prevent greater harm.
97,Indian penal code,Section 82,Act of a child under seven years of age,Provides an exception for acts of children under seven years of age.
98,Indian penal code,Section 83,Act of a child above seven and under twelve of immature understanding,Provides an exception for acts of children between seven and twelve of immature understanding.
99,Indian penal code,Section 84,Act of person of unsound mind,Provides an exception for acts of persons of unsound mind.
100,Indian penal code,Section 85,Act of a person incapable of judgment by reason of intoxication caused against his will, Provides an exception for acts done under involuntary intoxication.
101,Indian penal code,Section 86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,Deals with offences committed under voluntary intoxication.
102,Indian penal code,Section 87,Act not intended and not known to be likely to cause death or grievous hurt done by consent,Provides an exception for acts done with consent.
103,Indian penal code,Section 88,Act not intended to cause death done by consent in good faith for person�s benefit,Provides an exception for acts done with consent for a person's benefit.
104,Indian penal code,Section 89,Act done in good faith for benefit of child or insane person by or by consent of guardian,Provides an exception for acts done in good faith for the benefit of a child or insane person.
105,Indian penal code,Section 90,Consent known to be given under fear or misconception,Defines consent when given under fear or misconception.
106,Indian penal code,Section 91,Consent known to be given under fear or misconception,Deals with acts that are offences regardless of consent.
107,Indian penal code,Section 92,Act done in good faith for benefit of a person without consent,Provides an exception for acts done in good faith for a person's benefit without consent.
108,Indian penal code,Section 93,Communication made in good faith,Provides an exception for communications made in good faith.
109,Indian penal code,Section 94,Act to which a person is compelled by threats, Provides an exception for acts done under compulsion.
110,Indian penal code,Section 95,Act causing slight harm,Provides an exception for acts causing slight harm.
111,Indian penal code,Section 96,Things done in private defence, Introduces the right of private defence.
112,Indian penal code,Section 97,Right of private defence of the body and of property,Defines the right of private defence.
113,Indian penal code,Section 98,Right of private defence against the act of a person of unsound mind etc.,Deals with the right of private defence against acts of persons of unsound mind.
114,Indian penal code,Section 99,Acts against which there is no right of private defence,Defines the limitations of the right of private defence.
115,Indian penal code,Section 100,When the right of private defence of the body extends to causing death, Specifies when the right of private defence of the body extends to causing death.
116,Indian penal code,Section 101,When such right extends to causing any harm other than death, Specifies when the right of private defence extends to causing harm other than death.
117,Indian penal code,Section 102,Commencement and continuance of the right of private defence of the body,Defines the commencement and continuance of the right of private defence of the body.
118,Indian penal code,Section 103,When the right of private defence of property extends to causing death,Specifies when the right of private defence of property extends to causing death.
119,Indian penal code,Section 104,When such right extends to causing any harm other than death,Specifies when the right of private defence of property extends to causing harm other than death.
120,Indian penal code,Section 105,Commencement and continuance of the right of private defence of property,Defines the commencement and continuance of the right of private defence of property.
121,Indian penal code,Section 106,Right of private defence against deadly assault when there is risk of harm to innocent person,Addresses self-defense when innocent bystanders are at risk.
122,Indian penal code,Section 107,Abetment of a thing,Defines what constitutes abetting a crime.
123,Indian penal code,Section 108,Abettor,Defines who is considered an abettor.
124,Indian penal code,Section 108A,Abetment of acts outside India,Addresses abetment of offenses committed in other countries.
125,Indian penal code,Section 109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,Specifies the punishment for abetment when the act is committed.
126,Indian penal code,Section 110,Punishment of abetment if person abetted does act with different intention from that of abettor,Addresses punishment when the abettor and principal have different intentions.
127,Indian penal code,Section 111,Liability of abettor when one act abetted and different act done,Explains liability when a different act than the abetted one is committed.
128,Indian penal code,Section 112,Abettor when liable to cumulative punishment for act abetted and for act done,Addresses cumulative punishment for the abetted and committed acts.
129,Indian penal code,Section 113,Liability of abettor for an act caused by the abettor which he intended or knew himself likely to cause,Explains liability when the effect of the act is different from the abettor's intent.
130,Indian penal code,Section 114,Abettor present when offence is committed,Addresses the liability of an abettor who is present at the commission of the offense.
131,Indian penal code,Section 115,Abetment of offence punishable with death or imprisonment for life�if offence not committed,Specifies punishment for abetment of serious offenses when the offense is not committed.
132,Indian penal code,Section 116,Abetment of offence punishable with imprisonment�if offence not committed,Specifies punishment for abetment of other offenses when the offense is not committed.
133,Indian penal code,Section 117,Abetting commission of offence by the public or by more than ten persons,Addresses abetment of offenses committed by a large group.
134,Indian penal code,Section 118,Concealing design to commit offence punishable with death or imprisonment for life,Specifies punishment for concealing the intention to commit serious offenses.
135,Indian penal code,Section 119,Public servant concealing design to commit offence which it is his duty to prevent,Addresses punishment for public servants who conceal plans to commit offenses they should prevent.
136,Indian penal code,Section 120,Concealing design to commit offence punishable with imprisonment,Specifies punishment for concealing plans to commit other offenses.
137,Indian penal code,Section 120A,Definition of criminal conspiracy,Defines what constitutes a criminal conspiracy.
138,Indian penal code,Section 120B,Punishment of criminal conspiracy,Specifies the punishment for criminal conspiracy like gold smuggling or Insurance fraud or human trafficking or money laundering or financial scam or financial fraud or bribery or corruption.
139,Indian penal code,Section 121,Waging or attempting to wage war or abetting waging of war against the Government of India,Addresses the offense of waging war against the government.
140,Indian penal code,Section 121A,AConspiracy to commit offences punishable by section ,Addresses conspiracy to commit offenses related to waging war.
141,Indian penal code,Section 122,Collecting arms etc. with intent to wage war against the Government of India,Addresses the offense of collecting arms to wage war.
142,Indian penal code,Section 123,Concealing with intent to facilitate design to wage war,Addresses concealing information to aid waging war.
143,Indian penal code,Section 124,Assaulting President Governor etc. with intent to compel or restrain the exercise of any lawful power,Addresses assault on high officials to influence their duties.
144,Indian penal code,Section 356,Theft or Robbery, if someone assaults or uses criminal force against another person while attempting to steal something that person is wearing or carrying or chain snatching they can be punished with imprisonment for up to two years or a fine or both."Assault or criminal force in attempt to commit theft or to rob of property worn or carried by a person 2 Years or Fine 
145,Indian penal code,124A,Sedition,Defines sedition as acts or speeches that incite hatred or contempt against the Government of India punishable with imprisonment or death.
146,Indian penal code,125,Waging war against any Asiatic power in alliance with the Government of India,Punishes the waging of war against any Asiatic power in alliance with India treating it as an act against the Government of India.
147,Indian penal code,126,Committing depredation on territories of power at peace with the Government of India,Punishes anyone who attacks or commits depredations on territories of a foreign power that is at peace with India.
148,Indian penal code,127,Receiving property taken by war or depredation mentioned in sections 125 and 126,Punishes individuals who receive property stolen or taken during a war or depredation against foreign powers allied or at peace with India.
149,Indian penal code,128,Public servant voluntarily allowing prisoner of State or war to escape,Punishes a public servant who willingly allows a prisoner of state or a war prisoner to escape.
150,Indian penal code,129,Public servant negligently suffering such prisoner to escape,Punishes a public servant for negligence in allowing a prisoner of state or war to escape.
151,Indian penal code,130,"Aiding escape of, rescuing, or harbouring such prisoner",Punishes anyone who aids the escape rescues or harbors a prisoner of state or war.
152,Indian penal code,131,"Abetting mutiny, or attempting to seduce a soldier, sailor, or airman from his duty",Punishes anyone who abets mutiny or attempts to seduce a soldier sailor or airman from their duty.
153,Indian penal code,132,"Abetment of mutiny, if mutiny is committed in consequence thereof",Punishes those who abet mutiny and as a result mutiny is actually committed.
154,Indian penal code,133,"Abetment of assault by soldier, sailor, or airman on his superior officer, when in execution of his office",Punishes the abetment of an assault on a superior officer by a soldier sailor or airman while they are executing their duties.
155,Indian penal code,134,"Abetment of such assault, if the assault is committed",Punishes the abetment of an assault on a superior officer if the assault is actually carried out.
156,Indian penal code,135,"Abetment of desertion of soldier, sailor, or airman",Punishes anyone who abets the desertion of a soldier sailor or airman from their duties.
157,Indian penal code,136,Harbouring deserter,Punishes anyone who harbors a soldier sailor or airman who has deserted their post.
158,Indian penal code,137,Deserter concealed on board merchant vessel through negligence of master,Punishes the master of a merchant vessel who negligently allows a deserter (soldier sailor or airman) to be concealed aboard.
159,Indian penal code,138,"Abetment of act of insubordination by soldier, sailor, or airman",Punishes anyone who abets an act of insubordination by a soldier sailor or airman.
160,Indian penal code,139,Persons subject to certain Acts,Defines the persons subject to certain military and naval laws including soldiers sailors and airmen.
161,Indian penal code,140,"Wearing garb or carrying token used by soldier, sailor, or airman",Punishes the act of wearing military or naval garb or carrying military tokens without proper authorization.
162,Indian penal code,141,Unlawful assembly,Defines an unlawful assembly as one where the persons have a common object to commit a criminal act.
163,Indian penal code,142,Being member of unlawful assembly,Punishes anyone who is a member of an unlawful assembly.
164,Indian penal code,143,Punishment,Specifies the punishment for being part of an unlawful assembly.
165,Indian penal code,144,Joining unlawful assembly armed with deadly weapon,Punishes those who join an unlawful assembly while carrying a deadly weapon.
166,Indian penal code,145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse",Punishes anyone who joins or stays in an unlawful assembly after it has been ordered to disperse.
167,Indian penal code,146,Rioting,Defines rioting as the use of violence by a group of people with a common object usually in furtherance of an unlawful assembly.
168,Indian penal code,147,Punishment for rioting,Specifies the punishment for rioting.
169,Indian penal code,148,"Rioting, armed with deadly weapon",Punishes rioting when the participants are armed with deadly weapons.
170,Indian penal code,149,Every member of unlawful assembly guilty of offence committed in prosecution of common object,States that every member of an unlawful assembly is guilty of any offence committed in pursuit of the assembly's common objective.
171,Indian penal code,150,"Hiring, or conniving at hiring, of persons to join unlawful assembly",Punishes the act of hiring or assisting in hiring people to join an unlawful assembly.
172,Indian penal code,151,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,Punishes the act of knowingly joining or remaining in an assembly of five or more persons after being ordered to disperse.
173,Indian penal code,152,"Assaulting or obstructing public servant when suppressing riot, etc.",Punishes anyone who assaults or obstructs a public servant while they are suppressing a riot or unlawful assembly.
174,Indian penal code,153,"Want only giving provocation, with intent to cause riot",Defines giving provocation with intent to cause a riot specifying punishment if a riot occurs or not.
175,Indian penal code,153A,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony",Punishes promoting hostility between groups based on religion race etc. and committing acts harmful to social harmony.
176,Indian penal code,153AA,"Punishment for knowingly carrying arms in any procession or organizing, or holding or taking part in any mass drill or mass training with arms",Specifies punishment for carrying arms in a procession or taking part in mass drills or training with arms.
177,Indian penal code,153B,Imputation or assertions prejudicial to national integration,Punishes anyone making false or malicious statements that harm national unity or integration.
178,Indian penal code,154,Owner or occupier of land on which an unlawful assembly is held,Holds the owner or occupier of land responsible if an unlawful assembly is held on their property.
179,Indian penal code,155,Liability of person for whose benefit riot is committed,Punishes the person for whose benefit a riot is committed.
180,Indian penal code,156,Liability of agent of owner or occupier for whose benefit riot is committed,Holds the agent (such as a manager or representative) of the property owner accountable if a riot occurs on the property.
181,Indian penal code,157,Harbouring persons hired for an unlawful assembly,Punishes anyone who harbors individuals hired to participate in an unlawful assembly.
182,Indian penal code,158,"Being hired to take part in an unlawful assembly or riot, or to go armed",Punishes anyone who is hired to participate in an unlawful assembly or riot or to go armed with a weapon for such purposes.
183,Indian penal code,159,Affray,Defines affray as a situation where two or more people fight in a public place in a way that disturbs the peace.
184,Indian penal code,160,Punishment for committing affray,Specifies the punishment for committing an affray which is typically a fine or imprisonment.
185,Indian penal code,166,"Public servant disobeying law, with intent to cause injury to any person",Punishes a public servant who willfully disobeys the law with the intention of causing harm to any individual.
186,Indian penal code,166A,Public servant disobeying direction under law,Punishes a public servant who disobeys a lawful direction given under the law.
187,Indian penal code,166B,Punishment for non-treatment of victim,Specifies the punishment for a public servant who fails to provide treatment to a victim when required.
188,Indian penal code,167,Public servant framing an incorrect document with intent to cause injury,Punishes a public servant who intentionally frames a false document with the intent to cause injury to someone.
189,Indian penal code,168,Public servant unlawfully engaging in trade,Punishes a public servant who unlawfully engages in any form of trade or business violating their official duties.
190,Indian penal code,169,Public servant unlawfully buying or bidding for property,Punishes a public servant who unlawfully buys or bids for property in a manner that breaches their duties.
191,Indian penal code,170,Personating a public servant,Punishes anyone who impersonates a public servant with fraudulent intent.
192,Indian penal code,171,Wearing garb or carrying token used by public servant with fraudulent intent,Punishes anyone who wears the clothing or carries the token of a public servant fraudulently intending to deceive.
193,Indian penal code,171A,"�Candidate�, �Electoral right� defined","Defines the terms ""candidate"" and ""electoral right"" in the context of elections."
194,Indian penal code,171B,Bribery,Defines bribery in the context of elections specifying the act of giving or receiving any kind of bribe to influence an election.
195,Indian penal code,171C,Undue influence at elections,Defines undue influence at elections including the use of threats or pressure to sway a person's vote.
196,Indian penal code,171D,Personation at elections,Defines personation at elections i.e. the act of falsely pretending to be someone else to vote on their behalf.
197,Indian penal code,171E,Punishment for bribery,Specifies the punishment for engaging in bribery during an election.
198,Indian penal code,171F,Punishment for undue influence or personation at an election,Specifies the punishment for exerting undue influence or engaging in personation during an election.
199,Indian penal code,171G,False statement in connection with an election,Punishes anyone who makes false statements regarding the election process candidates or results.
200,Indian penal code,171H,Illegal payments in connection with an election,Defines and punishes illegal payments made in connection with an election including inducements or bribes.
201,Indian penal code,171-I,Failure to keep election accounts,Specifies the punishment for failure to maintain proper accounts of election expenses as required by law.
202,Indian penal code,172,Absconding to avoid service or summons or other proceedings,Punishes any person who absconds to avoid the service of summons or any other legal proceeding.
203,Indian penal code,173,"Preventing service of summons or other proceedings, or preventing publication thereof",Punishes anyone who prevents the service of a summons or other legal proceedings or prevents their publication.
204,Indian penal code,174,Non-attendance in obedience to an order from a public servant,Punishes a person who fails to attend when ordered by a public servant.
205,Indian penal code,174A,Non-appearance in response to a proclamation under section 82 of Act 2 of 1974,Punishes the failure to appear in response to a proclamation issued under section 82 of the CrPC (Indian Penal Code).
206,Indian penal code,175,Omission to produce document to public servant by person legally bound to produce it,Punishes a person who is legally required to produce a document but fails to do so when requested by a public servant.
207,Indian penal code,176,Omission to give notice or information to public servant by person legally bound to give it,Punishes the failure to give required notice or information to a public servant.
208,Indian penal code,177,Furnishing false information,Punishes the act of providing false information to a public servant.
209,Indian penal code,178,Refusing oath or affirmation when duly required by public servant to make it,Punishes anyone who refuses to take an oath or affirmation when required by a public servant.
210,Indian penal code,179,Refusing to answer public servant authorised to question,Punishes a person who refuses to answer questions from a public servant who is legally authorized to ask.
211,Indian penal code,180,Refusing to sign statement,Punishes a person who refuses to sign a statement when legally required to do so by a public servant.
212,Indian penal code,181,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation,Punishes the act of making a false statement under oath or affirmation to a public servant or any person authorized to administer such oaths.
213,Indian penal code,182,"False information, with intent to cause public servant to use his lawful power to the injury of another person",Punishes anyone who provides false information intending to cause a public servant to misuse their power to harm someone else.
214,Indian penal code,183,Resistance to the taking of property by lawful authority of a public servant,Punishes resistance to the taking of property by a public servant executing their lawful authority.
215,Indian penal code,184,Obstructing sale of property offered for sale by authority of public servant,Punishes obstruction of the sale of property by a public servant under lawful authority.
216,Indian penal code,185,Illegal purchase or bid for property offered for sale by authority of public servant,Punishes anyone who illegally buys or bids for property being sold by a public servant under lawful authority.
217,Indian penal code,186,Obstructing public servant in discharge of public functions,Punishes anyone who obstructs a public servant from carrying out their lawful duties.
218,Indian penal code,187,Omission to assist public servant when bound by law to give assistance,Punishes a person who fails to assist a public servant when they are legally obligated to do so.
219,Indian penal code,188,Disobedience to order duly promulgated by public servant,Punishes anyone who disobeys an order that has been properly issued by a public servant.
220,Indian penal code,189,Threat of injury to public servant,Punishes anyone who threatens injury to a public servant in order to prevent them from performing their duties.
221,Indian penal code,190,Threat of injury to induce person to refrain from applying for protection to public servant,Punishes anyone who threatens injury to induce another person to refrain from seeking protection from a public servant.
222,Indian penal code,191,Giving false evidence,Punishes a person who gives false evidence in any judicial proceeding including falsely testifying or providing false information under oath. This is a serious offence as it undermines the integrity of the justice system.
223,Indian penal code,192,Fabricating false evidence,Punishes anyone who fabricates evidence including making or altering documents to mislead a judicial proceeding.
224,Indian penal code,193,Punishment for false evidence,Specifies the punishment for giving false evidence in judicial proceedings.
225,Indian penal code,194,Giving or fabricating false evidence with intent to procure conviction of capital offence,Punishes fabricating false evidence with the intent to procure the conviction of a capital offence and the consequences if an innocent person is convicted and executed.
226,Indian penal code,195,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,Punishes the fabrication of false evidence intended to procure the conviction of an offence punishable by life imprisonment or imprisonment.
227,Indian penal code,195A,Threatening any person to give false evidence,Punishes anyone who threatens another person to induce them to give false evidence.
228,Indian penal code,196,Using evidence known to be false,Punishes the use of evidence that is known to be false with the intent to deceive a judicial proceeding.
229,Indian penal code,197,Issuing or signing false certificate,Punishes the act of issuing or signing a certificate knowing it is false.
230,Indian penal code,198,Using as true a certificate known to be false,Punishes using a certificate as true when the person knows it is false.
231,Indian penal code,199,False statement made in declaration which is by law receivable as evidence,Punishes anyone making a false statement in a legally receivable declaration intended to be used as evidence.
232,Indian penal code,200,Using as true such declaration knowing it to be false,Punishes the use of a false declaration as true by a person who knows it is false.
233,Indian penal code,201,"Causing disappearance of evidence of offence, or giving false information, to screen offender",Punishes the act of causing the disappearance of evidence or providing false information to protect an offender.
